report_id,timestamp_bkk,date_bkk,time_bkk,latitude,longitude,location_accuracy_m,image_count,risk_color,risk_level_th,risk_score,dog_count,dog_count_description,observed_behavior,visible_risk_factors,recommendation,confidence,image_quality,needs_human_review,model
DOG-20260724-075154-B28694,2026-07-24T07:51:54+07:00,2026-07-24,07:51:54,14.0283041,99.9780921,110.0,2,yellow,สีเหลือง,2,4,พบสุนัขทั้งหมด 4 ตัวในพื้นที่สีเขียวและใกล้ทางเดิน,สุนัขยืนและเดินอยู่ในพื้นที่เป็นกลุ่ม มีท่าทีปกติ ไม่มีท่าทางคุกคามชัดเจน,สุนัขหลายตัวอยู่ใกล้ทางเดิน มีความเป็นไปได้ที่อาจเข้าใกล้ทางเดินของผู้ใช้งาน,ระวังและรักษาระยะห่างจากสุนัขในบริเวณนี้ หากเป็นไปได้ควรเปลี่ยนเส้นทางเดิน,medium,partly_clear,True,gpt-4.1-mini
DOG-20260729-064210-050D7D,2026-07-29T06:42:10+07:00,2026-07-29,06:42:10,14.0233467,99.9759033,5.9,2,yellow,สีเหลือง,2,0,ไม่พบสุนัขในภาพ,ไม่พบสุนัขในภาพ,ไม่พบสุนัขในภาพ,ระวังและสังเกตสิ่งรอบตัวขณะเดินทาง,high,clear,True,gpt-4.1-mini
DOG-20260729-064308-655504,2026-07-29T06:43:08+07:00,2026-07-29,06:43:08,14.0201100,99.9759250,9.2,1,green,สีเขียว,1,1,พบสุนัขตัวเดียวอยู่ระยะไกลจากทางเดิน,สุนัขยืนอยู่สงบ ไม่มีท่าทางคุกคาม,สุนัขอยู่ห่างจากพื้นที่คนสัญจร,รักษาระยะห่างและเดินอย่างระมัดระวัง,medium,clear,False,gpt-4.1-mini
DOG-20260729-064457-744D3A,2026-07-29T06:44:57+07:00,2026-07-29,06:44:57,14.0198733,99.9759550,2.9,1,yellow,สีเหลือง,2,3,สุนัขจำนวน 3 ตัว เห็นได้ชัด,สุนัขยืนระวังอยู่ใกล้ทางเดิน,สุนัขอยู่ใกล้ทางเดินและถนน มีหลายตัวในพื้นที่เดียวกัน,ควรรักษาระยะและไม่วิ่งผ่านบริเวณนี้,high,clear,False,gpt-4.1-mini
DOG-20260729-064648-29E363,2026-07-29T06:46:48+07:00,2026-07-29,06:46:48,14.0194494,99.9760662,33.7,2,yellow,สีเหลือง,2,1,พบสุนัขตัวเดียวในภาพที่สอง,สุนัขยืนอยู่กลางทางเดิน ห่างจากผู้คน,สุนัขใกล้ทางเดินและพื้นที่คนสัญจร,เปลี่ยนเส้นทาง รักษาระยะและไม่วิ่ง,medium,clear,False,gpt-4.1-mini
DOG-20260730-060306-A460C2,2026-07-30T06:03:06+07:00,2026-07-30,06:03:06,14.0148923,99.9749286,22.6,2,yellow,สีเหลือง,2,1,มีสุนัขตัวเดียวในภาพ,สุนัขนอนอยู่บนพื้นใกล้ทางเดิน,สุนัขอยู่ใกล้ทางเดินและทางเข้า,รักษาระยะห่าง ไม่เข้าใกล้ และเปลี่ยนเส้นทางหากเป็นไปได้,medium,partly_clear,False,gpt-4.1-mini
DOG-20260730-060656-36EEE0,2026-07-30T06:06:56+07:00,2026-07-30,06:06:56,14.0134950,99.9740150,29.8,2,yellow,สีเหลือง,2,5,พบสุนัข 5 ตัวในภาพทั้งสอง,สุนัขบางตัวยืนระวัง จ้องมอง ด้านหนึ่งนอนสงบ หลายตัวอยู่ใกล้ทางเดิน,สุนัขจำนวนหลายตัวอยู่ในพื้นที่ทางเดินและใกล้ทางเดิน เส้นทางคนสัญจร,ควรเดินช้า ๆ รักษาระยะห่าง และหลีกเลี่ยงการวิ่ง,high,clear,False,gpt-4.1-mini
DOG-20260730-083359-2C3222,2026-07-30T08:33:59+07:00,2026-07-30,08:33:59,14.0275949,99.9799478,25.6,1,green,สีเขียว,1,1,พบสุนัขตัวเดียวที่อยู่ห่างจากทางเดิน,สุนัขนอนสงบ ไม่แสดงท่าทีคุกคาม,ไม่มีท่าทางคุกคามหรือพฤติกรรมเป็นภัย,รักษาระยะห่าง อย่าเข้าใกล้สุนัขอย่างกระชั้นชิด,high,partly_clear,False,gpt-4.1-mini
DOG-20260804-055320-E422CD,2026-08-04T05:53:20+07:00,2026-08-04,05:53:20,14.0234600,99.9759083,4.2,3,yellow,สีเหลือง,2,2,พบสุนัข 2 ตัวในบริเวณภาพ,สุนัขนั่งและนอนในที่ส่วนหนึ่งของทางเดิน,สุนัขอยู่ในพื้นที่ทางเดิน ไม่มีท่าทางคุกคามที่ชัดเจน แต่มีสุนัขหลายตัวและภาพไม่คมชัดเต็มที่,ควรรักษาระยะห่างและพิจารณาเปลี่ยนเส้นทางหลีกเลี่ยงสุนัข,medium,partly_clear,True,gpt-4.1-mini
DOG-20260804-055727-44BEFA,2026-08-04T05:57:27+07:00,2026-08-04,05:57:27,14.0222981,99.9755069,17.9,1,yellow,สีเหลือง,2,1,มีสุนัข 1 ตัวในภาพ,สุนัขเดินอยู่บนทางเดิน ห่างจากผู้คน,สุนัขอยู่บนทางเดินคน ใช้ร่วมกับการสัญจร,รักษาระยะห่าง เปลี่ยนเส้นทางเดินหากเป็นไปได้ ไม่วิ่ง,medium,partly_clear,False,gpt-4.1-mini
